2024-10-04|01:55:14 PM|Dining Out|Costco|D|1091.55
2024-10-04|02:46:11 PM|Dining Out|Costco|D|1091.55
2024-03-26|01:58:02 PM|Streaming Subscription|Starbucks|D|816.67
2024-11-25|02:34:55 AM|Streaming Subscription|Nike|D|106.3
2025-01-25|10:42:26 AM|Gift Purchase|Netflix|D|1154.05
2024-05-18|06:45:38 PM|Salary|Nike|D|920.04
2024-06-19|03:28:06 PM|Groceries|Safeway|P|-120.25
2025-03-15|08:21:12 AM|Groceries|Safeway|P|-120.25
2024-09-10|08:08:49 PM|Dining Out|Safeway|D|1170.82
2024-05-07|06:33:08 AM|Coffee Shop|Walmart|P|-1058.55
2024-12-23|07:33:20 AM|Dining Out|Trader Joe's|P|-797.42
2024-11-01|12:17:32 PM|Gym Fee|Walmart|P|-1328.94
2024-10-15|04:19:32 AM|Concert Ticket|Delta Airlines|D|1125.05
2024-05-10|02:08:49 PM|Gift Purchase|Safeway|D|944.81
2024-10-31|05:27:26 PM|Gym Fee|Best Buy|D|1002.52
2024-09-27|04:26:52 PM|Coffee Shop|Starbucks|D|129.28
2025-04-23|08:12:38 AM|Concert Ticket|Nike|P|-259.54
2025-04-19|01:14:51 PM|Salary|Apple|D|145.93
2024-08-01|10:20:17 AM|Gift Purchase|Costco|P|-1192.98
2024-04-13|10:41:49 AM|Groceries|Safeway|P|-120.25
2025-02-04|04:11:44 PM|Gas Station|Nike|P|-679.46
2024-03-10|08:47:12 AM|Dining Out|Delta Airlines|P|-361.7
2025-04-26|10:15:31 AM|Concert Ticket|Best Buy|P|-684.35
2024-09-06|04:54:25 PM|Gym Fee|Safeway|D|477.59
2025-04-04|12:45:26 PM|Gas Station|Walmart|P|-182.54
2024-10-29|02:25:36 PM|Salary|Apple|D|520.07
2024-11-03|04:34:11 PM|Online Purchase|Macy's|P|-1388.78
2024-09-26|12:20:56 PM|Gas Station|Costco|D|327.4
2024-11-08|04:37:30 PM|Gym Fee|Apple|P|-1406.48
2025-04-17|11:49:06 PM|Groceries|Safeway|P|-120.25
2025-01-22|12:53:56 PM|Concert Ticket|Delta Airlines|D|291.03
2025-01-21|06:02:18 AM|Gift Purchase|Trader Joe's|P|-702.82
2024-07-21|06:47:29 AM|Groceries|Safeway|P|-120.25
2024-01-02|04:54:23 PM|Groceries|Safeway|P|-120.25
2024-11-12|11:28:14 AM|Dining Out|Chevron|P|-306.01
2024-11-20|11:26:51 PM|Gift Purchase|Amazon|D|955.5
2025-01-18|12:18:08 PM|Salary|Best Buy|D|1383.27
2025-02-21|06:04:28 AM|Salary|Trader Joe's|D|349.99
2025-02-17|12:52:09 PM|Gift Purchase|Amazon|D|1276.0
2024-04-23|01:52:17 PM|Gift Purchase|Walmart|P|-413.69
2024-11-03|03:42:17 AM|Groceries|Safeway|P|-208.07
2024-08-06|01:44:08 PM|Groceries|Nike|D|117.78
2024-11-22|08:46:21 PM|Gym Fee|Trader Joe's|P|-291.66
2024-10-09|12:03:16 PM|Gas Station|Nike|P|-10.7
2024-12-04|12:41:33 AM|Salary|Chevron|D|243.86
2024-12-23|03:45:36 PM|Concert Ticket|Delta Airlines|D|862.99
2024-03-03|07:07:30 PM|Gift Purchase|Apple|P|-449.96
2024-08-26|09:20:50 AM|Coffee Shop|Chevron|D|553.18
2024-10-10|02:17:15 PM|Salary|Nike|D|354.99
2024-04-03|08:34:17 PM|Coffee Shop|Amazon|P|-662.16
2024-08-30|11:19:09 PM|Gas Station|Netflix|P|-404.59
2024-05-14|07:51:23 AM|Concert Ticket|Amazon|P|-266.57
2024-09-19|07:24:37 PM|Online Purchase|Best Buy|P|-1245.29
2024-07-17|02:14:31 PM|Coffee Shop|Amazon|P|-742.98
2024-03-22|12:10:01 PM|Coffee Shop|Trader Joe's|D|1442.27
2024-08-14|04:16:53 PM|Concert Ticket|Amazon|D|985.29
2024-08-09|12:32:35 AM|Groceries|Safeway|P|-120.25
2024-04-25|08:56:11 AM|Concert Ticket|Netflix|P|-753.13
2025-03-30|12:58:50 PM|Concert Ticket|Trader Joe's|D|735.16
2024-08-19|06:54:07 AM|Salary|Trader Joe's|D|1442.82
2024-12-28|12:59:14 PM|Groceries|Safeway|P|-120.25
2024-10-05|03:55:43 AM|Concert Ticket|Trader Joe's|D|472.24
2024-09-01|03:07:58 PM|Salary|Nike|D|344.61
2024-03-04|02:26:03 AM|Salary|Walmart|D|1425.89
2025-03-17|08:28:16 AM|Coffee Shop|Costco|P|-426.59
2024-10-22|01:27:26 PM|Groceries|Safeway|P|-120.25
2024-06-02|01:28:31 AM|Concert Ticket|Apple|D|1440.62
2024-06-15|10:55:39 PM|Salary|Apple|D|1050.31
2024-10-28|12:45:28 PM|Gas Station|Costco|D|139.17
2024-11-17|10:12:08 PM|Online Purchase|Trader Joe's|P|-528.27
2024-03-21|06:47:01 AM|Dining Out|Chevron|D|1134.43
